index,publishedAt,authorName,text,isReply,cleaned,label_kmedoids,distance_kmedoids,semi
6,2020-01-14 20:21:36,Josué Oller,Brazil will lost 25% of territory 😂,0,will lost 25% of territory 😂,30,0.0017388463,none
10,2020-01-14 9:09:25,A Wild Brony,Florida and Delaware: Aight imma head out,0,Florida and Delaware: Aight imma head out,0,0.0003888011,none
22,2020-01-10 22:08:55,Simon Salamon,"look at the bright side ,more water, great !",0,"look at the bright side ,more water, great !  ",1,0.0013580918,none
24,2020-01-10 17:21:01,Jason Davis,Fake fill a glass half full of water then add ice to the top let sit as the ice melts does it over flow?,0,Fake fill a glass half full of water then add ice to the top let sit as the ice melts does it over flow?,38,0.0012772679,none
57,2020-01-01 21:42:07,JollyGreen,"This actually seems pretty nice, I&#39;ll be closer to the beach and communist china will be halfway underwater. It&#39;s a win-win in my book.",0,"This actually seems pretty nice, I'll be closer to the beach and communist china will be halfway underwater. It's a win-win in my book.  ",32,0.0008997321,none
63,2019-12-31 5:01:26,Mark Santa Cruz,"Seems like China and USA would lose the most land, they should be at the forefront of change.",0,"Seems like China and USA would lose the most land, they should be at the forefront of change.  ",32,0.0003117323,none
91,2019-12-27 1:56:43,Xavier Lauzac,You’re acting like it’s going to happen.,1,You’re acting like it’s going to happen.,20,0.00015503168,none
107,2019-12-24 7:35:01,Matthew Meyer,Should change the title to &#39;this is what would happen if the polar caps entirely melted over millennia and we just watched the sea rising till it drowned us&#39; of course there are 101 ways to engineer out of this. But of course the polar caps melting is not a reasonable scenario.,0,Should change the title to 'this is what would happen if the polar caps entirely melted over millennia and we just watched the sea rising till it drowned us' of course there are 101 ways to engineer out of this. But of course the polar caps melting is not a reasonable scenario.,5,0.00033682585,none
125,2019-12-19 21:20:54,ROBLOX TEAM,Thats why Donald trump want walls xD,0,Thats why Donald trump want walls xD,33,4.15E-05,none
294,2019-11-18 5:02:51,G. HELM,"Who come up with this, some whinny ass earth lover?",0,"Who come up with this, some whinny ass earth lover?  ",30,0.00077080727,none
303,2019-11-17 15:32:28,Yabba Dabba,I wonder where all the Jews would end up? Watch out world they have a plan for this event.,0,I wonder where all the Jews would end up? Watch out world they have a plan for this event.,30,0.00147295,none
323,2019-11-17 4:11:08,David Hellan,Democrats are melting ice. It is the ultimate wealth redistribution. All the rich people live near the oceans,0,Democrats are melting ice. It is the ultimate wealth redistribution. All the rich people live near the oceans,4,0.00086808205,none
418,2019-11-09 10:06:44,zigge hylen,"this is not fkn true, greta tunberg will save us",0,"this is not fkn true, greta tunberg will save us  ",2,0.003465712,none
432,2019-11-06 3:22:49,Ian Johnstone,"On the bright side, DC would be under water",0,"On the bright side, DC would be under water  ",3,0.0020332932,none
554,2019-10-18 13:13:37,Velo-Pro International,Currently we are in a solar minimum at least for the next 11 years. I would expect an ice age before I would expect anything else.,0,Currently we are in a solar minimum at least for the next 11 years. I would expect an ice age before I would expect anything else.,5,0.00045233965,none
563,2019-10-17 17:28:20,The Joker,"That's not how glaciers work, stupid.",1,"That's not how glaciers work, stupid.  ",38,0.0007516742,none
644,2019-10-09 23:56:10,Evan Miller,Incorrect. Water expands when it freezes and contracts when it melts leaving the same water level. Simple high school experiment.,0,Incorrect. Water expands when it freezes and contracts when it melts leaving the same water level. Simple high school experiment.,38,0.00061261654,none
827,2019-09-17 9:06:54,Frankie Diamond,Only a vegan lifestyle can help us to survive!,0,Only a vegan lifestyle can help us to survive!,30,0.0014231205,none
974,2019-08-30 9:41:37,Rick Sanchez,China is doomed if this happens... Trump got it all figured out,0,China is doomed if this happens... Trump got it all figured out,32,6.69E-05,none
1013,2019-08-23 6:05:29,Rob 1,Global warming is fake,0,Global ing is fake,4,0.0011581182,none
1040,2019-08-16 19:59:53,Im not a Rapper,"If florida gone,then it means all the fat dumb gun lovers moves up north",0,"If florida gone,then it means all the fat dumb gun lovers moves up north  ",0,0.00013142824,none
1169,2019-07-29 5:40:06,coolstay85,Surprisingly Taiwan survived,0,Surprisingly Taiwan survived,32,0.00022143126,none
1281,2019-07-14 18:06:57,capigolf,This is what we deserve for doing global warming,0,This is what we deserve for doing global ing,4,0.0010780692,none
1329,2019-07-09 13:36:57,opnwndo,Lol like we will care or have a chance if this would ever happen. It would not be a SLOW process going in...,0,Lol like we will care or have a chance if this would ever happen. It would not be a SLOW process going in...,20,0.00013059378,none
1331,2019-07-08 21:32:33,Bad Robot,"Its happened before, it will happen again",0,"Its happened before, it will happen again  ",20,0.00010359287,none
1687,2019-05-29 8:40:48,Champ Craft,We need to do something not to let this happen,0,We need to do something not to let this happen,20,7.47E-05,none
1822,2019-05-15 17:29:10,Felix B,if you dont belive in climate change you are a traitor to all humans and need to be deald with like traitors!,0,if you dont belive in climate change you are a traitor to all humans and need to be deald with like traitors!,4,7.49E-05,none
4674,2018-12-28 23:12:53,Carnivorous plants & gardening,Trump is gonna build a wall and make the ocean pay for it,0,Trump is gonna build a wall and make the ocean pay for it,33,3.28E-05,none
8882,2018-05-09 19:16:53,william dohn,Actually the aliens are coming to steal all the water so it will look like Tatooine.,0,Actually the aliens are coming to steal all the water so it will look like Tatooine.,1,0.0005610585,none
9628,2018-04-29 17:45:53,E. Rijpstra,"All of you out there, do this experiment at home, put ice in a glass fill it with water, let it stand and watch what happens once all the ice melts..😉👍",0,"All of you out there, do this experiment at home, put ice in a glass fill it with water, let it stand and watch what happens once all the ice melts..😉👍  ",38,0.0012868643,none
9776,2018-04-27 8:29:31,akashmihir84,The biggest population centers that will survive are Paris and Berlin. And then they will go for another world war.,0,The biggest population centers that will survive are Paris and Berlin. And then they will go for another world war.,28,0.0010620952,none
10800,2018-01-23 2:00:27,jon rheaume,Well idiot maker of this video. No One Cares. In fact it happened once. In fact just last week there was evidence found of a forest on Antarctica.. So yes it did happen once already. No one wants to hear your cries. Man wasn&#39;t around when it happened climate change just happens.,0,Well  maker of this video. No One Cares. In fact it happened once. In fact just last week there was evidence found of a forest on Antarctica.. So yes it did happen once already. No one wants to hear your cries. Man wasn't around when it happened climate change just happens.,5,8.05E-05,none
11828,2017-11-04 7:23:12,Pomeranian Productions,Lel Berlin in germany would be either at the New Coast or on a island.,0,Lel Berlin in germany would be either at the New Coast or on a island.,39,0.0015215278,none
11843,2017-10-30 11:52:36,Moe Rey,Damn chinese!!,0,Damn chinese!!,32,9.00E-05,none
