,publishedAt,authorName,text,isReply,cleaned,label_kmedoids,distance_kmedoids,semi
6,2020-01-14 20:21:36,Josué Oller,Brazil will lost 25% of territory 😂,0, will lost 25% of territory 😂  ,12,0.0018265843,none
8,2020-01-14 13:02:13,Peter Vaichus,"If this was an actual concern...at all...then why did the Obama’s just purchase a 15million dollar mansion on the MA coast at Martha’s Vineyard? Then President Obama warned people about coastal flooding due to “global warming” but obviously by his actions does not believe anything about such imminent ocean waters rising. <br />All part of the hoax to alarm, scare, and control people and make billions off of the unsuspecting.",0,"If this was an actual concern...at all...then why did the Obama’s just purchase a 15million dollar mansion on the MA coast at Martha’s Vineyard? Then President Obama warned people about coastal flooding due to “global ing” but obviously by his actions does not believe anything about such imminent ocean waters rising.   All part of the hoax to alarm, scare, and control people and make billions off of the unsuspecting.  ",11,0.0007452369,none
10,2020-01-14 09:09:25,A Wild Brony,Florida and Delaware: Aight imma head out,0,Florida and Delaware: Aight imma head out  ,0,0.0003181696,none
22,2020-01-10 22:08:55,Simon Salamon,"look at the bright side ,more water, great !",0,"look at the bright side ,more water, great !  ",25,0.00014400482,none
24,2020-01-10 17:21:01,Jason Davis,Fake fill a glass half full of water then add ice to the top let sit as the ice melts does it over flow?,0,Fake fill a glass half full of water then add ice to the top let sit as the ice melts does it over flow?  ,18,0.0011507273,none
38,2020-01-05 16:44:34,TallJoeYTRoblox,Disney world would be destroyed if the earth was flooded,0,Disney world would be destroyed if the earth was flooded  ,26,1.2755394e-05,none
42,2020-01-05 04:39:00,Jack Sparrow,Ironic the bay city san fransisco is perfectly fine?..... Propaganda.,0,Ironic the bay city san fransisco is perfectly fine?..... Propaganda.  ,34,0.00019592047,none
63,2019-12-31 05:01:26,Mark Santa Cruz,"Seems like China and USA would lose the most land, they should be at the forefront of change.",0,"Seems like China and USA would lose the most land, they should be at the forefront of change.  ",35,0.00033199787,none
125,2019-12-19 21:20:54,ROBLOX TEAM,Thats why Donald trump want walls xD,0,Thats why Donald trump want walls xD  ,25,0.006937444,none
289,2019-11-18 23:19:54,R N Jesus,"Damn, only thing keeping me from a beachfront property is a little ice? Burn it to the ground!",0,"Damn, only thing keeping me from a beachfront property is a little ice? Burn it to the ground!  ",8,9.173155e-05,none
294,2019-11-18 05:02:51,G. HELM,"Who come up with this, some whinny ass earth lover?",0,"Who come up with this, some whinny ass earth lover?  ",6,0.0007368922,none
295,2019-11-18 03:17:11,lushin burl,"Thisnis not true. It would put antartica under water instead of under ice. It would be the exact same everywhere. R u people this dumb? If your ice cube melts in a full glass of water, does it make the water level rise? No it atays the same. This is fear mongering for the crooked politicians. Poss.",0,"Thisnis not true. It would put antartica under water instead of under ice. It would be the exact same everywhere. R u people this dumb? If your ice cube melts in a full glass of water, does it make the water level rise? No it atays the same. This is fear mongering for the crooked politicians. Poss.  ",18,7.337332e-05,none
323,2019-11-17 04:11:08,David Hellan,Democrats are melting ice. It is the ultimate wealth redistribution. All the rich people live near the oceans,0,Democrats are melting ice. It is the ultimate wealth redistribution. All the rich people live near the oceans  ,11,0.0006262064,none
418,2019-11-09 10:06:44,zigge hylen,"this is not fkn true, greta tunberg will save us",0,"this is not fkn true, greta tunberg will save us  ",39,0.0028434396,none
432,2019-11-06 03:22:49,Ian Johnstone,"On the bright side, DC would be under water",0,"On the bright side, DC would be under water  ",22,0.002071321,none
554,2019-10-18 13:13:37,Velo-Pro International,Currently we are in a solar minimum at least for the next 11 years. I would expect an ice age before I would expect anything else.,0,Currently we are in a solar minimum at least for the next 11 years. I would expect an ice age before I would expect anything else.  ,3,0.00050216913,none
563,2019-10-17 17:28:20,The Joker,"That's not how glaciers work, stupid.",1,"That's not how glaciers work, stupid.  ",18,0.0007728338,none
644,2019-10-09 23:56:10,Evan Miller,Incorrect. Water expands when it freezes and contracts when it melts leaving the same water level. Simple high school experiment.,0,Incorrect. Water expands when it freezes and contracts when it melts leaving the same water level. Simple high school experiment.  ,18,0.0005698204,none
774,2019-09-25 15:18:33,Big Fat Greasy Turd,"Meh, looks ok to me.. bring it on, but... It won&#39;t happen cos climate change idiots are full of shit.",0,"Meh, looks ok to me.. bring it on, but... It won't happen cos climate change s are full of shit.  ",21,0.00032383204,none
784,2019-09-23 21:10:44,MrCrappyBoi,At least Alabama is mostly gone...,0,At least Alabama is mostly gone...  ,0,0.00075519085,none
827,2019-09-17 09:06:54,Frankie Diamond,Only a vegan lifestyle can help us to survive!,0,Only a vegan lifestyle can help us to survive!  ,11,0.0018184781,none
894,2019-09-07 19:20:09,snurk agurk,I just hope oslo becomes tropical,0,I just hope oslo becomes tropical  ,16,0.00036537647,none
974,2019-08-30 09:41:37,Rick Sanchez,China is doomed if this happens... Trump got it all figured out,0,China is doomed if this happens... Trump got it all figured out  ,35,3.2424927e-05,none
1013,2019-08-23 06:05:29,Rob 1,Global warming is fake,0,Global ing is fake  ,11,0.0011480451,none
1040,2019-08-16 19:59:53,Im not a Rapper,"If florida gone,then it means all the fat dumb gun lovers moves up north",0,"If florida gone,then it means all the fat dumb gun lovers moves up north  ",0,0.00016522408,none
1169,2019-07-29 05:40:06,coolstay85,Surprisingly Taiwan survived,0,Surprisingly Taiwan survived  ,35,0.00033330917,none
1261,2019-07-18 16:30:57,bruh bruh,Just learn to swim idiots,0,Just learn to swim s  ,8,0.0044359565,none
1281,2019-07-14 18:06:57,capigolf,This is what we deserve for doing global warming,0,This is what we deserve for doing global ing  ,11,0.0009146333,none
1321,2019-07-10 20:03:46,Nikodem,Switzerland: eats popcorn,0,Switzerland: eats popcorn  ,22,0.001372397,none
1329,2019-07-09 13:36:57,opnwndo,Lol like we will care or have a chance if this would ever happen. It would not be a SLOW process going in...,0,Lol like we will care or have a chance if this would ever happen. It would not be a SLOW process going in...  ,6,0.0011130571,none
1576,2019-06-08 06:31:39,Paul Starr,The ice melted already at the end of the last ice age - so funny.,0,The ice melted already at the end of the last ice age - so funny.  ,4,0.00036758184,none
1687,2019-05-29 08:40:48,Champ Craft,We need to do something not to let this happen,0,We need to do something not to let this happen  ,6,0.00088596344,none
